'IsOddSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsOddSpectralTriple.dense_domain_dirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsOddSpectralTriple.isClosed_dirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsOddSpectralTriple.exists_comm_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.grading_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.grading_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.grading_conj_dirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.mem_unitary_iff_sq_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.exists_grading_eigen_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'LinearPMap.inverseAsLinearMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'LinearPMap.resolventSet' depends on axioms: [propext, Quot.sound]
'LinearPMap.resolvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'LinearPMap.range_resolvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsSelfAdjoint.norm_resolvent_apply_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsSelfAdjoint.injective_resolvent_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsSelfAdjoint.dense_range_resolvent_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsFinitelySummableSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsSelfAdjoint.isClosed_range_subDirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsSelfAdjoint.mem_resolventSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsOddSpectralTriple.mem_resolventSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsOddSpectralTriple.toIsFinitelySummableSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsFinitelySummableSpectralTriple.resolvent_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Dkernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.index' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.finiteDimensional_Dkernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.grading_mem_Dkernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'IsEvenSpectralTriple.index' depends on axioms: [propext, Classical.choice, Quot.sound]
'lpDiag.diagL' depends on axioms: [propext, Classical.choice, Quot.sound]
'lpDiag.norm_diagL_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'lpDiag.isCompactOperator_diagL_of_support_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'lpDiag.isCompactOperator_diagL' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Circle.diracDirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Circle.diracDirac_isSelfAdjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Circle.mem_resolventSet_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Circle.isCompactOperator_resolvent_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.diracDirac' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.diracDirac_isSelfAdjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.mem_resolventSet_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.isCompactOperator_resolvent_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.grading' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.isSelfAdjoint_grading' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.grading_mul_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.grading_anticomm' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.algebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.rep' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.isOddSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.isEvenSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.isFinitelySummableSpectralTriple' depends on axioms: [propext, Classical.choice, Quot.sound]
'SpectralTriples.Torus.index_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
